SL NO:,Dept. Name,Audit Unit Name,Period of last Audit,PARA NO. ,Audit Office,Para_ID,Para Subject,Observation Category Description,Observation Category,IIA/IIB,Monetory Amount,Recovery Amount,IR Despatch Date,Stage,Status,Query raised by,Query date,Response,Response date,Rejoinder date,Resource,File Type
11,H&FW,"Medical Superintendent, K C General Hospital, Malleshwaram, Bangalore",2017-18,IV/IIB/2015-16,GSA,2210HFW_AU0046_2015-16_IIB_02,"Non encashment of EMD:  Rs. 5,000/-",,J,IIB,,,11.06.18,,,,11.06.18,,R.N.R.,R.N.I.,,
12,H&FW,"Medical Superintendent, K C General Hospital, Malleshwaram, Bangalore",2017-18,III/IIB/2016-17,GSA,2210HFW_AU0046_2016-17_IIB_01,Avoidable expenditure of ,,D,IIB,,,11.06.18,,,,11.06.18,,R.N.R.,R.N.I.,,
13,H&FW,"Medical Superintendent, K C General Hospital, Malleshwaram, Bangalore",2017-18,I/IIB/2017-18,GSA,2210HFW_AU0046_2017-18_IIB_01,Non refund of hospital charges by SAST Rs. 27.78 lakh,,J,IIB,,,11.06.18,,,,11.06.18,,R.N.R.,R.N.I.,,
14,H&FW,"Medical Superintendent, K C General Hospital, Malleshwaram, Bangalore",2017-18,II/IIB/2017-18,GSA,2210HFW_AU0046_2017-18_IIB_02,Non Collection of rents,,J,IIB,,,11.06.18,,,,11.06.18,,R.N.R.,R.N.I.,,
15,H&FW,"Medical Superintendent, K C General Hospital, Malleshwaram, Bangalore",2017-18,III/IIB/2017-18,GSA,2210HFW_AU0046_2017-18_IIB_03,Discrepancies noticed in Arogya Raksha Samithi Account,,J,IIB,,,11.06.18,,,,11.06.18,,R.N.R.,R.N.I.,,
16,H&FW,"Medical Superintendent, K C General Hospital, Malleshwaram, Bangalore",2017-18,IV/IIB/2017-18,GSA,2210HFW_AU0046_2017-18_IIB_04,Excess payment of Demand Charges of Electricity ,,B,IIB,,,11.06.18,,,,11.06.18,,R.N.R.,R.N.I.,,
17,H&FW,"Medical Superintendent, K C General Hospital, Malleshwaram, Bangalore",2017-18,V/IIB/2017-18,GSA,2210HFW_AU0046_2017-18_IIB_05,Loss of 528 quantity unit of blood due to expiry.,,E,IIB,,,11.06.18,,,,11.06.18,,R.N.R.,R.N.I.,,
18,H&FW,"Medical Superintendent, K C General Hospital, Malleshwaram, Bangalore",2017-18,VI/IIB/2017-18,GSA,2210HFW_AU0046_2017-18_IIB_06,"Non-remittance of Bank  interest Rs. 6,45,465/-",,J,IIB,,,11.06.18,,,,11.06.18,,R.N.R.,R.N.I.,,
19,H&FW,"Medical Superintendent, K C General Hospital, Malleshwaram, Bangalore",2017-18,VII/IIB/2017-18,GSA,2210HFW_AU0046_2017-18_IIB_07,Non-reconciliation of various schemes accounts.,,J,IIB,,,11.06.18,,,,11.06.18,,R.N.R.,R.N.I.,,
20,H&FW,"Medical Superintendent, K C General Hospital, Malleshwaram, Bangalore",2017-18,VIII/IIB/2017-18,GSA,2210HFW_AU0046_2017-18_IIB_08,"Non deduction of TDS Rs. 53,418/-",,B,IIB,,,11.06.18,,,,11.06.18,,R.N.R.,R.N.I.,,
21,H&FW,"Medical Superintendent, K C General Hospital, Malleshwaram, Bangalore",2017-18,IX/IIB/2017-18,GSA,2210HFW_AU0046_2017-18_IIB_09,"Excess drawl of Special/Emergency Allowances by Doctors Rs. 47,210/-",,B,IIB,,,11.06.18,,,,11.06.18,,R.N.R.,R.N.I.,,
22,H&FW,"Medical Superintendent, K C General Hospital, Malleshwaram, Bangalore",2017-18,X/IIB/2017-18,GSA,2210HFW_AU0046_2017-18_IIB_10,avoidable payment of interest on delayed payment of water bills Rs. 33.22 lakh.,,D,IIB,,,11.06.18,,,,11.06.18,,R.N.R.,R.N.I.,,
23,H&FW,"Medical Superintendent, K C General Hospital, Malleshwaram, Bangalore",2017-18,XI/IIB/2017-18,GSA,2210HFW_AU0046_2017-18_IIB_11,Non replacement of expired and sub standard drugs. Delay in calling for requisition for nearing expiry drugs.,,J,IIB,,,11.06.18,,,,11.06.18,,R.N.R.,R.N.I.,,
24,H&FW,"Medical Superintendent, K C General Hospital, Malleshwaram, Bangalore",2017-18,XII/IIB/2017-18,GSA,2210HFW_AU0046_2017-18_IIB_12,Non disposal of condemned Articles of X-ray Department.,,J,IIB,,,11.06.18,,,,11.06.18,,R.N.R.,R.N.I.,,
25,H&FW,"Medical Superintendent, K C General Hospital, Malleshwaram, Bangalore",2017-18,XIII/IIB/2017-18,GSA,2210HFW_AU0046_2017-18_IIB_13,"Under utilization of NHM JSSK (Janani Shishu Suraksh Karyakrama) Scheme grant resulted in lapse of budget grant Rs. 27,29,934/-",,I,IIB,,,11.06.18,,,,11.06.18,,R.N.R.,R.N.I.,,
26,H&FW,"Medical Superintendent, K C General Hospital, Malleshwaram, Bangalore",2017-18,XIV/IIB/2017-18,GSA,2210HFW_AU0046_2017-18_IIB_14,Non  deduction of TDS,,B,IIB,,,11.06.18,,,,11.06.18,,R.N.R.,R.N.I.,,
27,H&FW,"Medical Superintendent, K C General Hospital, Malleshwaram, Bangalore",2017-18,XV/IIB/2017-18,GSA,2210HFW_AU0046_2017-18_IIB_15,Irregular allotment of designated quarters to staff.,,J,IIB,,,11.06.18,,,,11.06.18,,R.N.R.,R.N.I.,,
28,H&FW,"Medical Superintendent, K C General Hospital, Malleshwaram, Bangalore",2017-18,XVI/IIB/2017-18,GSA,2210HFW_AU0046_2017-18_IIB_16,Non functioning of Telemedicine Unit.,,I,IIB,,,11.06.18,,,,11.06.18,,R.N.R.,R.N.I.,,
29,H&FW,"Medical Superintendent, K C General Hospital, Malleshwaram, Bangalore",2017-18,XVII/IIB/2017-18,GSA,2210HFW_AU0046_2017-18_IIB_17,"Non-Production of Medical Reimbursement bills Rs. 6,60,982/-",,J,IIB,,,11.06.18,,,,11.06.18,,R.N.R.,R.N.I.,,
30,H&FW,"Medical Superintendent, Government H.S.I.S. Gosha Hospital, Bangalore",2016-17,I/IIB/2003-05,GSA,2210HFW_AU0426_2003-05_IIB_01,Purchase of linen in excess of the powers-delegated.,,F,IIB,,,,,,,,,,,,
31,H&FW,"Medical Superintendent, Government H.S.I.S. Gosha Hospital, Bangalore",2016-17,II/IIA/2015-16,GSA,2210HFW_AU0426_2015-16_IIA_01,Probable  encroachment of hospital land,, F,IIA,,,,,,,,,,,,
32,H&FW,"Medical Superintendent, Government H.S.I.S. Gosha Hospital, Bangalore",2016-17,I/IIB/2015-16,GSA,2210HFW_AU0426_2015-16_IIB_02,Construction of New HSIS Gosha Women & Children Hospital.Delay in completion of work and non  adherence to the condition of the contract,, D,IIB,,,,,,,,,,,,
33,H&FW,"Medical Superintendent, Government H.S.I.S. Gosha Hospital, Bangalore",2016-17,II/IIB/2015-16,GSA,2210HFW_AU0426_2015-16_IIB_03,"Non remittance of interest amount earned on scheme funds Rs. 3,63,476/-",, J,IIB,,,,,,,,,,,,
34,H&FW,"Medical Superintendent, Government H.S.I.S. Gosha Hospital, Bangalore",2016-17,III/IIB/2015-16,GSA,2210HFW_AU0426_2015-16_IIB_04,Non-provision of Mini Effluent Treatment Plant (ETP) and dual pipeline system.,, G,IIB,,,,,,,,,,,,
35,H&FW,"Medical Superintendent, Government H.S.I.S. Gosha Hospital, Bangalore",2016-17,IV/IIB/2015-16,GSA,2210HFW_AU0426_2015-16_IIB_05,Non allotment of vacant quarter to the staff.,,J,IIB,,,,,,,,,,,,
36,H&FW,"Medical Superintendent, Government H.S.I.S. Gosha Hospital, Bangalore",2016-17,I/IIB/2016-17,GSA,2210HFW_AU0426_2016-17_IIB_01,Avoidable payment of Demand Charges PF penalty and MD Penalty.,,J,IIB,,,,,,,,,,,,
37,H&FW,"Medical Superintendent, Government H.S.I.S. Gosha Hospital, Bangalore",2016-17,II/IIB/2016-17,GSA,2210HFW_AU0426_2016-17_IIB_02,"Non remittance of interest amount earned on scheme funds of Rs. 42,530/-",,J,IIB,,,,,,,,,,,,
38,H&FW,"Medical Superintendent, Government H.S.I.S. Gosha Hospital, Bangalore",2016-17,III/IIB/2016-17,GSA,2210HFW_AU0426_2016-17_IIB_03,Non conducting of Annual Physical verification of  stock  articles and stores,,J,IIB,,,,,,,,,,,,
39,H&FW,"Medical Superintendent, Government H.S.I.S. Gosha Hospital, Bangalore",2016-17,IV/IIB/2016-17,GSA,2210HFW_AU0426_2016-17_IIB_04,Un-serviceable  articles.,,J,IIB,,,,,,,,,,,,
40,H&FW,"District Surgeon, District Hospital, Udupi.",2015-16,II/IIB/2010-12,GSA,2210HFW_AU0126_2010-12_IIB_01,Non submission of utilization certificate ,, J,IIB,,,14.09.18,,,,14.09.18,,R.N.R.,R.N.I.,,
41,H&FW,"District Surgeon, District Hospital, Udupi.",2015-16,IV/IIB/2012-14,GSA,2210HFW_AU0126_2012-14_IIB_01,Non production of records relating to purchase of lab chemicals and equipment.,, J,IIB,,,14.09.18,,,,14.09.18,,R.N.R.,R.N.I.,,
42,H&FW,"District Surgeon, District Hospital, Udupi.",2015-16,I/IIB/2014-15,GSA,2210HFW_AU0126_2014-15_IIB_01,Delay in commissioning of blood cell separator has resulted in loss of revenue to the Government of Rs. 45.61 lakh.,,E,IIB,,,14.09.18,,,,14.09.18,,R.N.R.,R.N.I.,,
43,H&FW,"District Surgeon, District Hospital, Udupi.",2015-16,II/IIB/2014-15,GSA,2210HFW_AU0126_2014-15_IIB_02,Unfruitful expenditure on geriatric ward (sr.  Citizen) Rs. 119.88 lakh.,,E,IIB,,,14.09.18,,,,14.09.18,,R.N.R.,R.N.I.,,
44,H&FW,"District Surgeon, District Hospital, Udupi.",2015-16,IV/IIB/2014-15,GSA,2210HFW_AU0126_2014-15_IIB_03,"Non-recovery of Income Tax Rs. 8,934/-",,B,IIB,,,14.09.18,,,,14.09.18,,R.N.R.,R.N.I.,,
45,H&FW,"District Surgeon, District Hospital, Udupi.",2015-16,I/IIB/2015-16,GSA,2210HFW_AU0126_2015-16_IIB_01,In ordinate delay in repairing Bio-Chemistry analyzer (Hitachi) resulted in deprival of benefit  to  the patients.,,E,IIB,,,14.09.18,,,,14.09.18,,R.N.R.,R.N.I.,,
46,H&FW,"District Surgeon, District Hospital, Udupi.",2015-16,II/IIB/2015-16,GSA,2210HFW_AU0126_2015-16_IIB_02,Non-maintenance of stock  register in various wards and  sections.,,J,IIB,,,14.09.18,,,,14.09.18,,R.N.R.,R.N.I.,,
47,H&FW,"District Surgeon, District Hospital, Udupi.",2015-16,III/IIB/2015-16,GSA,2210HFW_AU0126_2015-16_IIB_03,Non-updating of Asset Register.,,J,IIB,,,14.09.18,,,,14.09.18,,R.N.R.,R.N.I.,,
48,H&FW,"District Surgeon, District Hospital, Udupi.",2015-16,IV/IIB/2015-16,GSA,2210HFW_AU0126_2015-16_IIB_04,"Excess purchase of linen worth Rs. 64,550/-",,G,IIB,,,14.09.18,,,,14.09.18,,R.N.R.,R.N.I.,,
49,H&FW,"District Surgeon, District Hospital, Udupi.",2015-16,V/IIB/2015-16,GSA,2210HFW_AU0126_2015-16_IIB_05,Vehicle  remain unutilized due to repair.,,G,IIB,,,14.09.18,,,,14.09.18,,R.N.R.,R.N.I.,,
50,H&FW,"District Surgeon, District Hospital, Udupi.",2015-16,VI/IIB/2015-16,GSA,2210HFW_AU0126_2015-16_IIB_06,Omissions noticed in the Service Register.,,J,IIB,,,14.09.18,,,,14.09.18,,R.N.R.,R.N.I.,,
51,H&FW,"The District Surgeon, SNR Hospital, Kolar (Indian Population Project)",2011-12,I/IIA/97-98,GSA,2210HFW_AU0200_1997-98_IIA_01,"Excess payment on purchase of medicines kit from M/s. Karnataka Pharmaceuticals Ltd., Bangalore",, J,IIA,,,,,,,,,,,,
52,H&FW,"The District Surgeon, SNR Hospital, Kolar (Indian Population Project)",2011-12,III/IIB/97-98,GSA,2210HFW_AU0200_1997-98_IIB_02,"Non-recovery of from DH, Urban, Bangalore",, J,IIB,,,,,,,,,,,,
53,H&FW,"The District Surgeon, SNR Hospital, Kolar (Indian Population Project)",2011-12,V/IIB/97-98,GSA,2210HFW_AU0200_1997-98_IIB_03,Non-surrender of un-spent grants under the head of account 2211 family welfare programme,, J,IIB,,,,,,,,,,,,
54,H&FW,"The District Surgeon, SNR Hospital, Kolar (Indian Population Project)",2011-12,IX/IIB/97-98,GSA,2210HFW_AU0200_1997-98_IIB_04,Non-reimbursement of expenditure incurred by the Government of Karnataka under one major head of account -2211 family welfare programme,, J,IIB,,,,,,,,,,,,
55,H&FW,"The District Surgeon, SNR Hospital, Kolar (Indian Population Project)",2011-12,II/B/97-98,GSA,2210HFW_AU0200_1997-98_IIB_05,Non-recovery of leave salary pension contribution from officials deputed from other departments,, J,IIB,,,,,,,,,,,,
56,H&FW,"The District Surgeon, SNR Hospital, Kolar (Indian Population Project)",2011-12,II/B/97-98,GSA,2210HFW_AU0200_1997-98_IIB_06,Non-production of records,, J,IIB,,,,,,,,,,,,
57,H&FW,"The District Surgeon, SNR Hospital, Kolar (Indian Population Project)",2011-12,I/IIA/2010-12,GSA,2210HFW_AU0200_2010-12_IIA_01,Functioning of burns ward-Idle equipment worth Rs. 37.84 lakh.,, G,IIA,,,,,,,,,,,,
58,H&FW,"The District Surgeon, SNR Hospital, Kolar", 2017-18,IV/IIB/09-10,GSA,2210HFW_AU0052_2009-10_IIB_01,Non recovery of license fee,, J,IIB,,,20.06.18,,,,20.06.18,,R.N.R.,R.N.I.,,
59,H&FW,"The District Surgeon, SNR Hospital, Kolar", 2017-18,V/IIB/2010-12,GSA,2210HFW_AU0052_2010-12_IIB_01,Short recovery in KGID subscriptions.,, J,IIB,,,20.06.18,,,,20.06.18,,R.N.R.,R.N.I.,,
60,H&FW,"The District Surgeon, SNR Hospital, Kolar", 2017-18,IX/IIB/2010-12,GSA,2210HFW_AU0052_2010-12_IIB_02,Erasure and overwriting of entries in cash book.,, J,IIB,,,20.06.18,,,,20.06.18,,R.N.R.,R.N.I.,,
61,H&FW,"The District Surgeon, SNR Hospital, Kolar", 2017-18,IV/IIB/2012-13,GSA,2210HFW_AU0052_2012-13_IIB_01,Non claiming of insurance in respect of Troup carrier bearing register No KA-07-G-288 met with an accident on 15-11-2010,, J,IIB,,,20.06.18,,,,20.06.18,,R.N.R.,R.N.I.,,
62,H&FW,"The District Surgeon, SNR Hospital, Kolar", 2017-18,V/IIB/2012-13,GSA,2210HFW_AU0052_2012-13_IIB_02,Mixing of scheme fund with Arogya Raksha Samiti funds,, J,IIB,,,20.06.18,,,,20.06.18,,R.N.R.,R.N.I.,,
63,H&FW,"The District Surgeon, SNR Hospital, Kolar", 2017-18,VI/IIB/2012-13,GSA,2210HFW_AU0052_2012-13_IIB_03,Incorrect utilization of Janani Sishu Kavacha (JSSK) funds RS.16 Lakh ,, J,IIB,,,20.06.18,,,,20.06.18,,R.N.R.,R.N.I.,,
64,H&FW,"The District Surgeon, SNR Hospital, Kolar", 2017-18,X/IIB/2012-13,GSA,2210HFW_AU0052_2012-13_IIB_04,Non reconciliation of bank balance,, J,IIB,,,20.06.18,,,,20.06.18,,R.N.R.,R.N.I.,,
65,H&FW,"The District Surgeon, SNR Hospital, Kolar", 2017-18,XI/IIB/2012-13,GSA,2210HFW_AU0052_2012-13_IIB_05,Non disposal of condemned articles ,, J,IIB,,,20.06.18,,,,20.06.18,,R.N.R.,R.N.I.,,
66,H&FW,"The District Surgeon, SNR Hospital, Kolar", 2017-18,XIV/IIB/2012-13,GSA,2210HFW_AU0052_2012-13_IIB_06,Missing of three boxes of each X ray developer and X ray fixer power,, J,IIB,,,20.06.18,,,,20.06.18,,R.N.R.,R.N.I.,,
67,H&FW,"The District Surgeon, SNR Hospital, Kolar", 2017-18,XVI/IIB/2012-13,GSA,2210HFW_AU0052_2012-13_IIB_07,Stores and stocks of ANM training centre (Female) attached to SNR District Hospital Kolar,, F,IIB,,,20.06.18,,,,20.06.18,,R.N.R.,R.N.I.,,
68,H&FW,"The District Surgeon, SNR Hospital, Kolar", 2017-18,I/IIA/2013-14,GSA,2210HFW_AU0052_2013-14_IIA_01,Under staffing resulting in underutilization of state of the Art equipments purchased at a cost of Rs. 91 lakh.,, H,IIA,,,20.06.18,,,,20.06.18,,R.N.R.,R.N.I.,,
69,H&FW,"The District Surgeon, SNR Hospital, Kolar", 2017-18,I/IIB/2013-14,GSA,2210HFW_AU0052_2013-14_IIB_02,Central Oxygen unit,, J,IIB,,,20.06.18,,,,20.06.18,,R.N.R.,R.N.I.,,
70,H&FW,"The District Surgeon, SNR Hospital, Kolar", 2017-18,II/IIB/2013-14,GSA,2210HFW_AU0052_2013-14_IIB_03,Purchase of items worth Rs. 17.86 lakh by splitting of purchase to avoid tendering process.,,F,IIB,,,20.06.18,,,,20.06.18,,R.N.R.,R.N.I.,,
71,H&FW,"The District Surgeon, SNR Hospital, Kolar", 2017-18,III/IIB/2013-14,GSA,2210HFW_AU0052_2013-14_IIB_04,"Short/non collection of clinical fees Rs. 7,71,000/-",, B,IIB,,,20.06.18,,,,20.06.18,,R.N.R.,R.N.I.,,
72,H&FW,"The District Surgeon, SNR Hospital, Kolar", 2017-18,IV/IIB/2013-14,GSA,2210HFW_AU0052_2013-14_IIB_05,"Non collection of ground rent from HOPCOMS Rs. 4,80,000/-",, J,IIB,,,20.06.18,,,,20.06.18,,R.N.R.,R.N.I.,,
73,H&FW,"The District Surgeon, SNR Hospital, Kolar", 2017-18,V/IIB/2013-14,GSA,2210HFW_AU0052_2013-14_IIB_06,"Short collection of rent from Janatha Bazar Rs. 2,71,050/-",, J,IIB,,,20.06.18,,,,20.06.18,,R.N.R.,R.N.I.,,
74,H&FW,"The District Surgeon, SNR Hospital, Kolar", 2017-18,VI/IIB/2013-14,GSA,2210HFW_AU0052_2013-14_IIB_07,Limited/minimal usage of Audiometer worth Rs. 2.85 lakh.,, G,IIB,,,20.06.18,,,,20.06.18,,R.N.R.,R.N.I.,,
75,H&FW,"The District Surgeon, SNR Hospital, Kolar", 2017-18,VII/IIB/2013-14,GSA,2210HFW_AU0052_2013-14_IIB_08,Avoidable expenditure due to.,, D,IIB,,,20.06.18,,,,20.06.18,,R.N.R.,R.N.I.,,
76,H&FW,"The District Surgeon, SNR Hospital, Kolar", 2017-18,VIII/IIB/2013-14,GSA,2210HFW_AU0052_2013-14_IIB_09,"Interest amount earned on NRHM funds Rs. 2,78,268/-",, J,IIB,,,20.06.18,,,,20.06.18,,R.N.R.,R.N.I.,,
77,H&FW,"The District Surgeon, SNR Hospital, Kolar", 2017-18,IX/IIB/2013-14,GSA,2210HFW_AU0052_2013-14_IIB_10,"Non-remittance of interest of Rs. 95,131/- earned on different bank accounts.",, J,IIB,,,20.06.18,,,,20.06.18,,R.N.R.,R.N.I.,,
78,H&FW,"The District Surgeon, SNR Hospital, Kolar", 2017-18,X/IIB/2013-14,GSA,2210HFW_AU0052_2013-14_IIB_11,"Non-deduction of Income Tax of Rs. 41,681/- from the payment made to contractor i.r.o AMC & CMC of equipment.",, B,IIB,,,20.06.18,,,,20.06.18,,R.N.R.,R.N.I.,,
79,H&FW,"The District Surgeon, SNR Hospital, Kolar", 2017-18,XI/IIB/2013-14,GSA,2210HFW_AU0052_2013-14_IIB_12,Not deducting Income Tax (TDS) in respect of the payment made to contractor for services of Non-Clinical Staff Rs. 8640/-,, B,IIB,,,20.06.18,,,,20.06.18,,R.N.R.,R.N.I.,,
80,H&FW,"The District Surgeon, SNR Hospital, Kolar", 2017-18,XII/IIB/2013-14,GSA,2210HFW_AU0052_2013-14_IIB_13,Non-fixation of rent pertaining to juice parlor.,, J,IIB,,,20.06.18,,,,20.06.18,,R.N.R.,R.N.I.,,
81,H&FW,"The District Surgeon, SNR Hospital, Kolar", 2017-18,XIII/IIB/2013-14,GSA,2210HFW_AU0052_2013-14_IIB_14,Idle X Ray equipments,, G,IIB,,,20.06.18,,,,20.06.18,,R.N.R.,R.N.I.,,
82,H&FW,"The District Surgeon, SNR Hospital, Kolar", 2017-18,XIV/IIB/2013-14,GSA,2210HFW_AU0052_2013-14_IIB_15,"Not Affixing Unique numbers to Dead Stock, Viz, Furniture/Electrical/Appliances/Electronic items/Equipments.",, J,IIB,,,20.06.18,,,,20.06.18,,R.N.R.,R.N.I.,,
83,H&FW,"The District Surgeon, SNR Hospital, Kolar", 2017-18,XV/IIB/2013-14,GSA,2210HFW_AU0052_2013-14_IIB_16,Motor vehicles lying idle for more than 3 to 25 years.,, G,IIB,,,20.06.18,,,,20.06.18,,R.N.R.,R.N.I.,,
84,H&FW,"The District Surgeon, SNR Hospital, Kolar", 2017-18,XVI/IIB/2013-14,GSA,2210HFW_AU0052_2013-14_IIB_17,Non-replacement of time barred and sub-standard drugs.,, J,IIB,,,20.06.18,,,,20.06.18,,R.N.R.,R.N.I.,,
85,H&FW,"The District Surgeon, SNR Hospital, Kolar", 2017-18,XVII/IIB/2013-14,GSA,2210HFW_AU0052_2013-14_IIB_18,Non-disposal  of hypo-solution ,, J,IIB,,,20.06.18,,,,20.06.18,,R.N.R.,R.N.I.,,
86,H&FW,"The District Surgeon, SNR Hospital, Kolar", 2017-18,XVIII/IIB/2013-14,GSA,2210HFW_AU0052_2013-14_IIB_19,Not-vacating residential quarters.,, J,IIB,,,20.06.18,,,,20.06.18,,R.N.R.,R.N.I.,,
87,H&FW,"The District Surgeon, SNR Hospital, Kolar", 2017-18,XIX/IIB/2013-14,GSA,2210HFW_AU0052_2013-14_IIB_20,Discrepancies in Service Registers.,, J,IIB,,,20.06.18,,,,20.06.18,,R.N.R.,R.N.I.,,
88,H&FW,"The District Surgeon, SNR Hospital, Kolar", 2017-18,XX/IIB/2013-14,GSA,2210HFW_AU0052_2013-14_IIB_21,Non-production of records,, J,IIB,,,20.06.18,,,,20.06.18,,R.N.R.,R.N.I.,,
89,H&FW,"The District Surgeon, SNR Hospital, Kolar", 2017-18,I/IIB/2014-15,GSA,2210HFW_AU0052_2014-15_IIB_01,Supply and installation of MH 400 watts high mast lighting: Non-adherence to tender conditions & delegation of financial powers,,E,IIB,,,20.06.18,,,,20.06.18,,R.N.R.,R.N.I.,,
90,H&FW,"The District Surgeon, SNR Hospital, Kolar", 2017-18,II/IIB/2014-15,GSA,2210HFW_AU0052_2014-15_IIB_02,"Non recovery of one percent Labour cess and TDS amount on the civil works Rs. 35,881/-",,B,IIB,,,20.06.18,,,,20.06.18,,R.N.R.,R.N.I.,,
91,H&FW,"The District Surgeon, SNR Hospital, Kolar", 2017-18,III/IIB/2014-15,GSA,2210HFW_AU0052_2014-15_IIB_03,AROGYA RAKSHA SAMITHI.,,J,IIB,,,20.06.18,,,,20.06.18,,R.N.R.,R.N.I.,,
92,H&FW,"The District Surgeon, SNR Hospital, Kolar", 2017-18,IV/IIB/2014-15,GSA,2210HFW_AU0052_2014-15_IIB_04,Pending Departmental enquiries.,,J,IIB,,,20.06.18,,,,20.06.18,,R.N.R.,R.N.I.,,
93,H&FW,"The District Surgeon, SNR Hospital, Kolar", 2017-18,V/IIB/2014-15,GSA,2210HFW_AU0052_2014-15_IIB_05,Splitting up of purchases to avoid sanction from high authorities.,,F,IIB,,,20.06.18,,,,20.06.18,,R.N.R.,R.N.I.,,
94,H&FW,"The District Surgeon, SNR Hospital, Kolar", 2017-18,VI/IIB/2014-15,GSA,2210HFW_AU0052_2014-15_IIB_06,Improper maintenance of Register for Receipt Books.,,J,IIB,,,20.06.18,,,,20.06.18,,R.N.R.,R.N.I.,,
95,H&FW,"The District Surgeon, SNR Hospital, Kolar", 2017-18,VII/IIB/2014-15,GSA,2210HFW_AU0052_2014-15_IIB_07,Non reconciliation of departmental figures of Expenditure/Remittances with Treasury and Accountant General Figures.,,J,IIB,,,20.06.18,,,,20.06.18,,R.N.R.,R.N.I.,,
96,H&FW,"The District Surgeon, SNR Hospital, Kolar", 2017-18,VIII/IIB/2014-15,GSA,2210HFW_AU0052_2014-15_IIB_08,"Time barred un-encashed cheques of Rs. 4,46,046/- not cancelled.",,J,IIB,,,20.06.18,,,,20.06.18,,R.N.R.,R.N.I.,,
97,H&FW,"The District Surgeon, SNR Hospital, Kolar", 2017-18,IX/IIB/2014-15,GSA,2210HFW_AU0052_2014-15_IIB_09,"Short collection of rent from Janatha Bazar-Rs. 3,41,550/- and Rs. 8175 from other shops.",,J,IIB,,,20.06.18,,,,20.06.18,,R.N.R.,R.N.I.,,
